Level,DC,MBR,WRKGRP,HYP-V,DEFAULT,ID
L1,Y,Y,Y,Y,APPLY,1.1.1
L1,Y,Y,Y,Y,APPLY,1.1.2
L1,Y,Y,Y,Y,APPLY,1.1.3
L1,Y,Y,Y,Y,APPLY,1.1.4
L1,Y,Y,Y,Y,APPLY,1.1.5
L1,Y,Y,Y,Y,APPLY,1.1.6
L1,Y,Y,Y,Y,APPLY,1.1.7
L1,Y,Y,Y,Y,APPLY,1.2.1
L1,Y,Y,Y,Y,APPLY,1.2.2
L1,Y,Y,Y,Y,APPLY,1.2.3
L1,Y,Y,Y,Y,APPLY,1.2.4
L1,Y,Y,Y,Y,APPLY,2.2.1
L1,Y,N,N,N,APPLY,2.2.2
L1,N,Y,Y,Y,APPLY,2.2.3
L1,Y,Y,Y,Y,APPLY,2.2.4
L1,Y,N,N,N,APPLY,2.2.5
L1,Y,Y,Y,Y,APPLY,2.2.6
L1,Y,N,N,N,APPLY,2.2.7
L1,N,Y,Y,Y,APPLY,2.2.8
L1,Y,N,N,N,APPLY,2.2.9
L1,N,Y,Y,Y,APPLY,2.2.10
L1,Y,Y,Y,Y,APPLY,2.2.11
L1,Y,Y,Y,Y,APPLY,2.2.12
L1,Y,Y,Y,Y,APPLY,2.2.13
L1,Y,Y,Y,Y,APPLY,2.2.14
L1,Y,Y,Y,Y,APPLY,2.2.15
L1,Y,Y,Y,Y,APPLY,2.2.16
L1,Y,Y,Y,Y,APPLY,2.2.17
L1,Y,N,N,N,APPLY,2.2.18
L1,N,Y,Y,Y,APPLY,2.2.19.1
L1,N,N,N,Y,APPLY,2.2.19.2
L1,Y,Y,Y,Y,APPLY,2.2.20
L1,Y,N,N,N,APPLY,2.2.21
L1,N,Y,N,Y,APPLY,2.2.22
L1,Y,Y,Y,Y,APPLY,2.2.23
L1,Y,Y,Y,Y,APPLY,2.2.24
L1,Y,Y,Y,Y,APPLY,2.2.25
L1,Y,N,N,N,APPLY,2.2.26
L1,N,Y,N,Y,APPLY,2.2.27
L1,Y,N,N,N,APPLY,2.2.28
L1,N,Y,Y,Y,APPLY,2.2.29
L1,Y,Y,Y,Y,APPLY,2.2.30
L1,Y,Y,Y,Y,APPLY,2.2.31
L1,Y,N,N,N,APPLY,2.2.32
L1,N,Y,Y,Y,APPLY,2.2.33
L1,Y,Y,Y,Y,APPLY,2.2.34
L1,Y,Y,Y,Y,APPLY,2.2.35
L1,Y,Y,Y,Y,APPLY,2.2.36
L2,Y,N,N,N,APPLY,2.2.37
L1,Y,N,N,N,APPLY,2.2.38.1
L1,Y,N,N,N,APPLY,2.2.38.2
L1,N,Y,Y,Y,APPLY,2.2.39
L1,Y,Y,Y,Y,APPLY,2.2.40
L1,Y,Y,Y,Y,APPLY,2.2.41
L1,Y,Y,Y,Y,APPLY,2.2.42
L1,Y,Y,Y,Y,APPLY,2.2.43
L1,Y,Y,Y,Y,APPLY,2.2.44
L1,Y,Y,Y,Y,APPLY,2.2.45
L1,Y,Y,Y,Y,APPLY,2.2.46
L1,Y,Y,Y,Y,APPLY,2.2.47
L1,Y,N,N,N,APPLY,2.2.48
L1,Y,Y,Y,Y,APPLY,2.2.49
L1,Y,Y,Y,Y,APPLY,2.3.1.1
L1,N,Y,Y,Y,APPLY,2.3.1.2
L1,Y,Y,Y,Y,APPLY,2.3.1.3
L1,Y,Y,Y,Y,APPLY,2.3.1.4
L1,Y,Y,Y,Y,APPLY,2.3.1.5
L1,Y,Y,Y,Y,APPLY,2.3.2.1
L1,Y,Y,Y,Y,APPLY,2.3.2.2
L1,Y,Y,Y,Y,APPLY,2.3.4.1
L1,Y,N,N,N,APPLY,2.3.5.1
L1,Y,N,N,N,APPLY,2.3.5.2
L1,Y,N,N,N,APPLY,2.3.5.3
L1,Y,N,N,N,APPLY,2.3.5.4
L1,Y,N,N,N,APPLY,2.3.5.5
L1,Y,Y,Y,Y,APPLY,2.3.6.1
L1,Y,Y,Y,Y,APPLY,2.3.6.2
L1,Y,Y,Y,Y,APPLY,2.3.6.3
L1,Y,Y,Y,Y,APPLY,2.3.6.4
L1,Y,Y,Y,Y,APPLY,2.3.6.5
L1,Y,Y,Y,Y,APPLY,2.3.6.6
L1,Y,Y,Y,Y,APPLY,2.3.7.1
L1,Y,Y,Y,Y,APPLY,2.3.7.2
L1,Y,Y,Y,Y,APPLY,2.3.7.3
L1,Y,Y,Y,Y,APPLY,2.3.7.4
L1,Y,Y,Y,Y,APPLY,2.3.7.5
L2,Y,Y,Y,Y,APPLY,2.3.7.6
L1,Y,Y,Y,Y,APPLY,2.3.7.7.1
L1,Y,Y,Y,Y,APPLY,2.3.7.7.2
L1,N,Y,Y,Y,APPLY,2.3.7.8
L1,Y,Y,Y,Y,APPLY,2.3.7.9
L1,Y,Y,Y,Y,APPLY,2.3.8.1
L1,Y,Y,Y,Y,APPLY,2.3.8.2
L1,Y,Y,Y,Y,APPLY,2.3.8.3
L1,Y,Y,Y,Y,APPLY,2.3.9.1
L1,Y,Y,Y,Y,APPLY,2.3.9.2
L1,Y,Y,Y,Y,APPLY,2.3.9.3
L1,Y,Y,Y,Y,TEST,2.3.9.4
L1,N,Y,N,Y,APPLY,2.3.9.5
L1,Y,Y,Y,Y,APPLY,2.3.10.1
L1,N,Y,N,Y,APPLY,2.3.10.2
L1,N,Y,N,Y,APPLY,2.3.10.3
L2,Y,Y,Y,Y,APPLY,2.3.10.4
L1,Y,Y,Y,Y,APPLY,2.3.10.5
L1,Y,N,N,N,APPLY,2.3.10.6
L1,N,Y,N,Y,APPLY,2.3.10.7
L1,Y,Y,Y,Y,APPLY,2.3.10.8
L1,Y,Y,Y,Y,APPLY,2.3.10.9
L1,Y,Y,Y,Y,APPLY,2.3.10.10
L1,N,Y,N,Y,APPLY,2.3.10.11
L1,Y,Y,Y,Y,APPLY,2.3.10.12
L1,Y,Y,Y,Y,APPLY,2.3.10.13
L1,Y,Y,Y,Y,APPLY,2.3.11.1
L1,Y,Y,Y,Y,APPLY,2.3.11.2
L1,Y,Y,Y,Y,APPLY,2.3.11.3
L1,Y,Y,Y,Y,APPLY,2.3.11.4
L1,Y,Y,Y,Y,APPLY,2.3.11.5
L1,Y,Y,Y,Y,TEST,2.3.11.6
L1,Y,Y,Y,Y,APPLY,2.3.11.7
L1,Y,Y,Y,Y,APPLY,2.3.11.8
L1,Y,Y,Y,Y,APPLY,2.3.11.9
L1,Y,Y,Y,Y,APPLY,2.3.11.10
L1,Y,Y,Y,Y,APPLY,2.3.11.11
L1,Y,N,N,N,APPLY,2.3.11.12
L1,Y,Y,Y,Y,APPLY,2.3.11.13
L1,Y,Y,Y,Y,APPLY,2.3.13.1
L1,Y,Y,Y,Y,APPLY,2.3.15.1
L1,Y,Y,Y,Y,APPLY,2.3.15.2
L1,Y,Y,Y,Y,APPLY,2.3.17.1
L1,Y,Y,Y,Y,APPLY,2.3.17.2
L1,Y,Y,Y,Y,APPLY,2.3.17.3
L1,Y,Y,Y,Y,APPLY,2.3.17.4
L1,Y,Y,Y,Y,APPLY,2.3.17.5
L1,Y,Y,Y,Y,APPLY,2.3.17.6
L1,Y,Y,Y,Y,APPLY,2.3.17.7
L1,Y,Y,Y,Y,APPLY,2.3.17.8
L1,Y,N,N,N,APPLY,5.1.1
L1,Y,N,N,N,APPLY,5.1.2
L2,N,Y,Y,Y,APPLY,5.2.1
L2,N,Y,Y,Y,APPLY,5.2.2
L1,Y,Y,Y,Y,APPLY,9.1.1
L1,Y,Y,Y,Y,APPLY,9.1.2
L1,Y,Y,Y,Y,APPLY,9.1.3
L1,Y,Y,Y,Y,APPLY,9.1.4
L1,Y,Y,Y,Y,APPLY,9.1.5
L1,Y,Y,Y,Y,APPLY,9.1.6
L1,Y,Y,Y,Y,APPLY,9.1.7
L1,Y,Y,Y,Y,APPLY,9.2.1
L1,Y,Y,Y,Y,APPLY,9.2.2
L1,Y,Y,Y,Y,APPLY,9.2.3
L1,Y,Y,Y,Y,APPLY,9.2.4
L1,Y,Y,Y,Y,APPLY,9.2.5
L1,Y,Y,Y,Y,APPLY,9.2.6
L1,Y,Y,Y,Y,APPLY,9.2.7
L1,Y,Y,Y,Y,APPLY,9.3.1
L1,Y,Y,Y,Y,APPLY,9.3.2
L1,Y,Y,Y,Y,APPLY,9.3.3
L1,Y,Y,Y,Y,TEST,9.3.4
L1,Y,Y,Y,Y,TEST,9.3.5
L1,Y,Y,Y,Y,APPLY,9.3.6
L1,Y,Y,Y,Y,APPLY,9.3.7
L1,Y,Y,Y,Y,APPLY,9.3.8
L1,Y,Y,Y,Y,APPLY,9.3.9
L1,Y,Y,Y,Y,APPLY,17.1.1
L1,Y,Y,Y,Y,APPLY,17.1.2
L1,Y,Y,Y,Y,APPLY,17.1.3
L1,Y,Y,Y,Y,APPLY,17.2.1
L1,Y,Y,Y,Y,APPLY,17.2.2
L1,Y,Y,Y,Y,APPLY,17.2.3
L1,Y,Y,Y,Y,APPLY,17.2.4
L1,Y,Y,Y,Y,APPLY,17.2.5
L1,Y,Y,Y,Y,APPLY,17.2.6
L1,Y,Y,Y,Y,APPLY,17.3.1
L1,Y,Y,Y,Y,APPLY,17.3.2
L1,Y,Y,Y,Y,APPLY,17.4.1
L1,Y,Y,Y,Y,APPLY,17.4.2
L1,Y,Y,Y,Y,APPLY,17.5.1
L1,Y,Y,Y,Y,APPLY,17.5.2
L1,Y,Y,Y,Y,APPLY,17.5.3
L1,Y,Y,Y,Y,APPLY,17.5.4
L1,Y,Y,Y,Y,APPLY,17.5.5
L1,Y,Y,Y,Y,APPLY,17.5.6
L1,Y,Y,Y,Y,APPLY,17.6.1
L1,Y,Y,Y,Y,APPLY,17.6.2
L1,Y,Y,Y,Y,APPLY,17.6.3
L1,Y,Y,Y,Y,APPLY,17.6.4
L1,Y,Y,Y,Y,APPLY,17.7.1
L1,Y,Y,Y,Y,APPLY,17.7.2
L1,Y,Y,Y,Y,APPLY,17.7.3
L1,Y,Y,Y,Y,APPLY,17.7.4
L1,Y,Y,Y,Y,APPLY,17.7.5
L1,Y,Y,Y,Y,APPLY,17.8.1
L1,Y,Y,Y,Y,APPLY,17.9.1
L1,Y,Y,Y,Y,APPLY,17.9.2
L1,Y,Y,Y,Y,APPLY,17.9.3
L1,Y,Y,Y,Y,APPLY,17.9.4
L1,Y,Y,Y,Y,APPLY,17.9.5
L1,Y,Y,Y,Y,APPLY,18.1.1.1
L1,Y,Y,Y,Y,APPLY,18.1.1.2
L1,Y,Y,Y,Y,APPLY,18.1.2.2
L2,Y,Y,Y,Y,APPLY,18.1.3
L1,N,Y,Y,Y,APPLY,18.4.1
L1,Y,Y,Y,Y,APPLY,18.4.2
L1,Y,Y,Y,Y,APPLY,18.4.3
L1,Y,Y,Y,Y,APPLY,18.4.4
L1,Y,Y,Y,Y,APPLY,18.4.5
L1,Y,Y,Y,Y,APPLY,18.4.6
L1,Y,Y,Y,Y,APPLY,18.4.7
L1,Y,Y,Y,Y,APPLY,18.4.8
L1,Y,Y,Y,Y,APPLY,18.5.1
L1,Y,Y,Y,Y,APPLY,18.5.2
L1,Y,Y,Y,Y,APPLY,18.5.3
L1,Y,Y,Y,Y,APPLY,18.5.4
L2,Y,Y,Y,Y,APPLY,18.5.5
L1,Y,Y,Y,Y,APPLY,18.5.6
L2,Y,Y,Y,Y,APPLY,18.5.7
L1,Y,Y,Y,Y,APPLY,18.5.8
L1,Y,Y,Y,Y,APPLY,18.5.9
L2,Y,Y,Y,Y,APPLY,18.5.10
L1,Y,Y,Y,Y,APPLY,18.5.11
L1,Y,Y,Y,Y,APPLY,18.5.12
L1,Y,Y,Y,Y,APPLY,18.6.4.1
L1,Y,Y,Y,Y,APPLY,18.6.4.2
L1,Y,Y,Y,Y,APPLY,18.6.4.3
L2,Y,Y,Y,Y,APPLY,18.6.5.1
L1,Y,Y,Y,Y,APPLY,18.6.8.1
L2,Y,Y,Y,Y,APPLY,18.6.9.1.1
L2,Y,Y,Y,Y,APPLY,18.6.9.1.2
L2,Y,Y,Y,Y,APPLY,18.6.9.1.3
L2,Y,Y,Y,Y,APPLY,18.6.9.1.4
L2,Y,Y,Y,Y,APPLY,18.6.9.2.1
L2,Y,Y,Y,Y,APPLY,18.6.9.2.2
L2,Y,Y,Y,Y,APPLY,18.6.9.2.3
L2,Y,Y,Y,Y,APPLY,18.6.9.2.4
L2,Y,Y,Y,Y,APPLY,18.6.10.2
L1,Y,Y,Y,Y,APPLY,18.6.11.2
L1,Y,Y,Y,Y,APPLY,18.6.11.3
L1,Y,Y,Y,Y,APPLY,18.6.11.4
L1,Y,Y,Y,Y,APPLY,18.6.14.1.1
L1,Y,Y,Y,Y,APPLY,18.6.14.1.2
L2,Y,Y,Y,Y,APPLY,18.6.19.2.1
L2,Y,Y,Y,Y,APPLY,18.6.20.1.1
L2,Y,Y,Y,Y,APPLY,18.6.20.1.2
L2,Y,Y,Y,Y,APPLY,18.6.20.1.3
L2,Y,Y,Y,Y,APPLY,18.6.20.1.4
L2,Y,Y,Y,Y,APPLY,18.6.20.1.5
L2,Y,Y,Y,Y,APPLY,18.6.20.2
L1,Y,Y,Y,Y,APPLY,18.6.21.1
L2,Y,Y,Y,Y,APPLY,18.6.21.2
L1,Y,Y,Y,Y,APPLY,18.7.1
L1,Y,Y,Y,Y,APPLY,18.7.2
L1,Y,Y,Y,Y,APPLY,18.7.3
L1,Y,Y,Y,Y,APPLY,18.7.4
L1,Y,Y,Y,Y,APPLY,18.7.5
L1,Y,Y,Y,Y,APPLY,18.7.6
L1,Y,Y,Y,Y,APPLY,18.7.7
L1,Y,Y,Y,Y,APPLY,18.7.8
L1,Y,Y,Y,Y,APPLY,18.7.9
L1,Y,Y,Y,Y,APPLY,18.7.10
L1,Y,Y,Y,Y,APPLY,18.7.11
L2,Y,Y,Y,Y,APPLY,18.8.1.1
L1,Y,Y,Y,Y,APPLY,18.9.3.1
L1,Y,Y,Y,Y,APPLY,18.9.4.1
L1,Y,Y,Y,Y,APPLY,18.9.4.2
NG,Y,Y,Y,Y,APPLY,18.9.5.1
NG,Y,Y,Y,Y,APPLY,18.9.5.2
NG,Y,Y,Y,Y,APPLY,18.9.5.3
NG,Y,Y,Y,Y,APPLY,18.9.5.4
NG,N,Y,Y,Y,APPLY,18.9.5.5
NG,Y,N,N,N,APPLY,18.9.5.6
NG,Y,Y,Y,Y,APPLY,18.9.5.7
L1,Y,Y,Y,Y,APPLY,18.9.7.2
L1,Y,Y,Y,Y,APPLY,18.9.13.1
L1,Y,Y,Y,Y,APPLY,18.9.19.2
L1,Y,Y,Y,Y,APPLY,18.9.19.3
L1,Y,Y,Y,Y,APPLY,18.9.19.4
L1,Y,Y,Y,Y,APPLY,18.9.19.5
L1,Y,Y,Y,Y,APPLY,18.9.19.6
L1,Y,Y,Y,Y,APPLY,18.9.19.7
L1,Y,Y,Y,Y,APPLY,18.9.20.1.1
L2,Y,Y,Y,Y,APPLY,18.9.20.1.2
L2,Y,Y,Y,Y,APPLY,18.9.20.1.3
L2,Y,Y,Y,Y,APPLY,18.9.20.1.4
L1,Y,Y,Y,Y,APPLY,18.9.20.1.5
L2,Y,Y,Y,Y,APPLY,18.9.20.1.6
L2,Y,Y,Y,Y,APPLY,18.9.20.1.7
L2,Y,Y,Y,Y,APPLY,18.9.20.1.8
L2,Y,Y,Y,Y,APPLY,18.9.20.1.9
L2,Y,Y,Y,Y,APPLY,18.9.20.1.10
L2,Y,Y,Y,Y,APPLY,18.9.20.1.11
L2,Y,Y,Y,Y,APPLY,18.9.20.1.12
L2,Y,Y,Y,Y,APPLY,18.9.20.1.13.1
L2,Y,Y,Y,Y,APPLY,18.9.20.1.13.2
L2,Y,Y,Y,Y,APPLY,18.9.23.1.1
L2,Y,Y,Y,Y,APPLY,18.9.23.1.2
L1,Y,Y,Y,Y,APPLY,18.9.24.1
L1,Y,Y,Y,Y,APPLY,18.9.25.1
L1,Y,Y,Y,Y,APPLY,18.9.25.2
L1,Y,Y,Y,Y,APPLY,18.9.25.3
L1,Y,Y,Y,Y,APPLY,18.9.25.4
L1,Y,Y,Y,Y,APPLY,18.9.25.5
L1,Y,Y,Y,Y,APPLY,18.9.25.6
L1,Y,Y,Y,Y,APPLY,18.9.25.7
L1,Y,Y,Y,Y,APPLY,18.9.25.8
L1,Y,Y,Y,Y,APPLY,18.9.26.1
L2,Y,Y,Y,Y,APPLY,18.9.26.2
L2,Y,Y,Y,Y,APPLY,18.9.27.1
L1,Y,Y,Y,Y,APPLY,18.9.28.1
L1,Y,Y,Y,Y,APPLY,18.9.28.2
L1,Y,Y,Y,Y,APPLY,18.9.28.3
L1,N,Y,Y,Y,APPLY,18.9.28.4
L1,Y,Y,Y,Y,APPLY,18.9.28.5
L1,Y,Y,Y,Y,APPLY,18.9.28.6
L1,Y,Y,Y,Y,APPLY,18.9.28.7
L2,Y,Y,Y,Y,APPLY,18.9.31.1
L2,Y,Y,Y,Y,APPLY,18.9.31.2
L2,Y,Y,Y,Y,APPLY,18.9.33.6.1
L2,Y,Y,Y,Y,APPLY,18.9.33.6.2
L1,Y,Y,Y,Y,APPLY,18.9.33.6.3
L1,Y,Y,Y,Y,APPLY,18.9.33.6.4
L1,Y,Y,Y,Y,APPLY,18.9.35.1
L1,Y,Y,Y,Y,APPLY,18.9.35.2
L1,N,Y,Y,Y,APPLY,18.9.36.1
L2,N,Y,Y,Y,APPLY,18.9.36.2
L1,Y,N,N,N,APPLY,18.9.39.1
L2,Y,Y,Y,Y,APPLY,18.9.47.5.1
L2,Y,Y,Y,Y,APPLY,18.9.47.11.1
L2,Y,Y,Y,Y,APPLY,18.9.49.1
L1,Y,Y,Y,Y,APPLY,18.9.51.1.1
L1,N,Y,Y,Y,APPLY,18.9.51.1.2
L2,Y,Y,Y,Y,APPLY,18.10.3.1
L1,Y,Y,Y,Y,APPLY,18.10.5.1
L1,Y,Y,Y,Y,APPLY,18.10.7.1
L1,Y,Y,Y,Y,APPLY,18.10.7.2
L1,Y,Y,Y,Y,APPLY,18.10.7.3
L1,Y,Y,Y,Y,APPLY,18.10.8.1.1
L2,Y,Y,Y,Y,APPLY,18.10.10.1
L1,Y,Y,Y,Y,APPLY,18.10.12.1
L2,Y,Y,Y,Y,APPLY,18.10.12.2
L1,Y,Y,Y,Y,APPLY,18.10.12.3
L1,Y,Y,Y,Y,APPLY,18.10.13.1
L1,Y,Y,Y,Y,APPLY,18.10.14.1
L1,Y,Y,Y,Y,APPLY,18.10.14.2
L1,Y,Y,Y,Y,APPLY,18.10.15.1
L2,Y,Y,Y,Y,APPLY,18.10.15.2
L1,Y,Y,Y,Y,APPLY,18.10.15.3
L1,Y,Y,Y,Y,APPLY,18.10.15.4
L1,Y,Y,Y,Y,APPLY,18.10.15.5
L1,Y,Y,Y,Y,APPLY,18.10.15.6
L1,Y,Y,Y,Y,APPLY,18.10.15.7
L1,Y,Y,Y,Y,APPLY,18.10.15.8
L1,Y,Y,Y,Y,APPLY,18.10.17.1
L1,Y,Y,Y,Y,APPLY,18.10.17.2
L1,Y,Y,Y,Y,APPLY,18.10.17.3
L1,Y,Y,Y,Y,APPLY,18.10.17.4
L1,Y,Y,Y,Y,APPLY,18.10.25.1.1
L1,Y,Y,Y,Y,APPLY,18.10.25.1.2
L1,Y,Y,Y,Y,APPLY,18.10.25.2.1
L1,Y,Y,Y,Y,APPLY,18.10.25.2.2
L1,Y,Y,Y,Y,APPLY,18.10.25.3.1
L1,Y,Y,Y,Y,APPLY,18.10.25.3.2
L1,Y,Y,Y,Y,APPLY,18.10.25.4.1
L1,Y,Y,Y,Y,APPLY,18.10.25.4.2
L1,Y,Y,Y,Y,APPLY,18.10.28.2
L1,Y,Y,Y,Y,APPLY,18.10.28.3
L1,Y,Y,Y,Y,APPLY,18.10.28.4
L2,Y,Y,Y,Y,APPLY,18.10.36.1
L1,Y,Y,Y,Y,APPLY,18.10.40.1
L1,Y,Y,Y,Y,APPLY,18.10.41.1
L1,Y,Y,Y,Y,APPLY,18.10.42.5.1
L2,Y,Y,Y,Y,APPLY,18.10.42.5.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.1.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.1.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.2.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.2.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.3.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.3.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.4.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.4.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.5.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.5.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.6.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.6.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.7.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.7.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.8.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.8.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.9.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.9.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.10.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.10.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.11.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.11.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.12.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.12.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.13.1
L1,Y,Y,Y,Y,APPLY,18.10.42.6.1.2.13.2
L1,Y,Y,Y,Y,APPLY,18.10.42.6.3.1
L1,Y,Y,Y,Y,APPLY,18.10.42.7.1
L1,Y,Y,Y,Y,APPLY,18.10.42.10.1
L1,Y,Y,Y,Y,APPLY,18.10.42.10.2
L1,Y,Y,Y,Y,APPLY,18.10.42.10.3
L1,Y,Y,Y,Y,APPLY,18.10.42.10.4
L2,Y,Y,Y,Y,APPLY,18.10.42.12.1
L1,Y,Y,Y,Y,APPLY,18.10.42.13.1
L1,Y,Y,Y,Y,APPLY,18.10.42.13.2
L1,Y,Y,Y,Y,APPLY,18.10.42.13.3
L1,Y,Y,Y,Y,APPLY,18.10.42.16
L1,Y,Y,Y,Y,APPLY,18.10.42.17
L1,Y,Y,Y,Y,APPLY,18.10.50.1
L2,Y,Y,Y,Y,APPLY,18.10.55.1
L1,Y,Y,Y,Y,APPLY,18.10.56.2.2
L2,Y,Y,Y,Y,APPLY,18.10.56.3.2.1
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.1
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.2
L1,Y,Y,Y,Y,APPLY,18.10.56.3.3.3
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.4
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.5
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.6
L2,Y,Y,Y,Y,APPLY,18.10.56.3.3.7
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.1
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.2
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.3
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.4
L1,Y,Y,Y,Y,APPLY,18.10.56.3.9.5
L2,Y,Y,Y,Y,APPLY,18.10.56.3.10.1
L2,Y,Y,Y,Y,APPLY,18.10.56.3.10.2
L1,Y,Y,Y,Y,APPLY,18.10.56.3.11.1
L1,Y,Y,Y,Y,APPLY,18.10.56.3.11.2
L1,Y,Y,Y,Y,APPLY,18.10.57.1
L2,Y,Y,Y,Y,APPLY,18.10.58.2
L2,Y,Y,Y,Y,APPLY,18.10.58.3
L2,Y,Y,Y,Y,APPLY,18.10.58.4
L2,Y,Y,Y,Y,APPLY,18.10.62.1
L1,Y,Y,Y,Y,APPLY,18.10.75.1.1.1
L1,Y,Y,Y,Y,APPLY,18.10.75.1.1.2
L2,Y,Y,Y,Y,APPLY,18.10.79.1
L1,Y,Y,Y,Y,APPLY,18.10.79.2
L1,Y,Y,Y,Y,APPLY,18.10.80.1
L1,Y,Y,Y,Y,APPLY,18.10.80.2
L2,Y,Y,Y,Y,APPLY,18.10.80.3
L1,Y,Y,Y,Y,APPLY,18.10.81.1
L1,Y,Y,Y,Y,APPLY,18.10.81.2
L2,Y,Y,Y,Y,APPLY,18.10.86.1
L2,Y,Y,Y,Y,APPLY,18.10.86.2
L1,Y,Y,Y,Y,APPLY,18.10.88.1.1
L1,Y,Y,Y,Y,TEST,18.10.88.1.2
L1,Y,Y,Y,Y,APPLY,18.10.88.1.3
L1,Y,Y,Y,Y,APPLY,18.10.88.2.1
L2,Y,Y,Y,Y,TEST,18.10.88.2.2
L1,Y,Y,Y,Y,TEST,18.10.88.2.3
L1,Y,Y,Y,Y,TEST,18.10.88.2.4
L1,Y,Y,Y,Y,TEST,18.10.89.1
L1,Y,Y,Y,Y,APPLY,18.10.91.2.1
L1,Y,Y,Y,Y,APPLY,18.10.92.1.1
L1,Y,Y,Y,Y,APPLY,18.10.92.2.1
L1,Y,Y,Y,Y,APPLY,18.10.92.2.2
L1,Y,Y,Y,Y,APPLY,18.10.92.4.1.1
L1,Y,Y,Y,Y,APPLY,18.10.92.4.1.2
L1,Y,Y,Y,Y,APPLY,18.10.92.4.2.1
L1,Y,Y,Y,Y,APPLY,18.10.92.4.2.2
L1,Y,Y,Y,Y,APPLY,18.10.92.4.2.3
L1,Y,Y,Y,Y,APPLY,18.10.92.4.3.1
L1,Y,Y,Y,Y,APPLY,18.10.92.4.3.2